# train length : 91
[i] iter = 115000, loss = 0.0063, train_time = 8sec
[i] iter = 116000, loss = 0.0063, train_time = 9sec
[i] iter = 117000, loss = 0.0063, train_time = 8sec
[i] iter = 118000, loss = 0.0064, train_time = 8sec
[i] iter = 119000, loss = 0.0065, train_time = 9sec
[i] iter = 120000, loss = 0.0063, train_time = 8sec
[i] iter = 121000, loss = 0.0062, train_time = 9sec
[i] iter = 122000, loss = 0.0064, train_time = 9sec
[i] iter = 123000, loss = 0.0065, train_time = 9sec
[i] iter = 124000, loss = 0.0064, train_time = 8sec
[i] iter = 125000, loss = 0.0063, train_time = 9sec
[i] iter = 126000, loss = 0.0063, train_time = 8sec
[i] iter = 127000, loss = 0.0062, train_time = 8sec
[i] iter = 128000, loss = 0.0062, train_time = 9sec
[i] iter = 129000, loss = 0.0063, train_time = 8sec
[i] iter = 130000, loss = 0.0062, train_time = 9sec
[i] iter = 131000, loss = 0.0063, train_time = 9sec
[i] iter = 132000, loss = 0.0064, train_time = 8sec
[i] iter = 133000, loss = 0.0062, train_time = 9sec
[i] iter = 134000, loss = 0.0063, train_time = 8sec
[i] iter = 135000, loss = 0.0063, train_time = 9sec
[i] iter = 136000, loss = 0.0063, train_time = 9sec
[i] iter = 137000, loss = 0.0063, train_time = 9sec
[i] iter = 138000, loss = 0.0063, train_time = 9sec
[i] iter = 139000, loss = 0.0063, train_time = 9sec
[i] iter = 140000, loss = 0.0062, train_time = 9sec
[i] iter = 141000, loss = 0.0062, train_time = 9sec
[i] iter = 142000, loss = 0.0061, train_time = 9sec
[i] iter = 143000, loss = 0.0062, train_time = 9sec
[i] iter = 144000, loss = 0.0062, train_time = 8sec
[i] iter = 145000, loss = 0.0062, train_time = 9sec
[i] iter = 146000, loss = 0.0061, train_time = 9sec
[i] iter = 147000, loss = 0.0064, train_time = 8sec
[i] iter = 148000, loss = 0.0061, train_time = 9sec
[i] iter = 149000, loss = 0.0062, train_time = 8sec
[i] iter = 150000, loss = 0.0060, train_time = 9sec
[i] iter = 151000, loss = 0.0062, train_time = 10sec
[i] iter = 152000, loss = 0.0062, train_time = 9sec
[i] iter = 153000, loss = 0.0062, train_time = 8sec
[i] iter = 154000, loss = 0.0061, train_time = 9sec
[i] iter = 155000, loss = 0.0062, train_time = 9sec
[i] iter = 156000, loss = 0.0063, train_time = 9sec
[i] iter = 157000, loss = 0.0061, train_time = 9sec
[i] iter = 158000, loss = 0.0061, train_time = 8sec
[i] iter = 159000, loss = 0.0063, train_time = 8sec
